Taiyuan Sea La Cite Tower B,2016,
Wanxiang City Tower 1,2012,
Equatorial Plaza,2014,"78,853"
Courtyard & Residence Inn Manhattan/Central Park,2011,
Grand Hyatt Colombo,2007,"102,000"
Shangri-La at the Fort,2011,"111,568"
787 Seventh Avenue,,
Vision Apartments,2013,
Lanzhou Center Office Tower,2013,"72,000"
Asia Square Tower 1,2009,"133,120"
North Yoker Plaza Tower A,,
One Penn Plaza,,"240,296"
1251 Avenue of the Americas,1967,"195,200"
Prudential Tower,,
Two California Plaza,,"123,542"
One Taikoo Place,2015,
Time Warner Center North Tower,2000,
Time Warner Center South Tower,2000,
Gas Company Tower,1988,"133,501"
Goldman Sachs Headquarters,2005,"195,095"
Plaza 66 Tower 2,2003,
KWG International Plaza,2014,
Bofu International Plaza Office Tower,2010,
Elite 500 Dos Mares,2014,
MLC Centre,1972,"100,000"
Kaina Business Plaza,,
Kempinski Hotel,2005,
COSCO Tower,,"76,900"
Dalian Dingsen Center North Tower,2010,
Dalian Dingsen Center South Tower,2010,
Shaanxi Information Mansion,2000,"97,300"
Shanglong Building,2000,"86,346"
Taiping Finance Tower,2010,"131,281"
CITIC Plaza,2006,"137,996"
Kingold Century,2011,
New York New York,2002,"42,000"
Changchenghui Tower 1,2013,
Ningbo International Trade Center,2006,
Trade Tower,,"107,708"
The Leaf,2011,"251,000"
Wanbo Tianhe Shopping Center Tower C,2014,
Four Seasons Hotel and Private Residences One Dalton Street,2015,
Marina Bay Residences,2006,
60 Wall Street,1988,"158,000"
One Astor Plaza,1968,"179,487"
RSA Battle House Tower,2003,"55,741"
Al Faisal Tower,2008,"65,282"
Governor Phillip Tower,,
Dawangjing 618 Tower 1,,
Al Asmakh Tower,,"50,000"
Marina Bay Suites,2008,
Empire Tower,1995,"150,000"
The Belcher's Tower 5,2000,
The Belcher's Tower 6,2000,
Blue Cross-Blue Shield Tower,2007,"217,756"
7 World Trade Center,2002,"156,181"
One Liberty Plaza,,"204,387"
Le 1250 Boulevard Rene-Levesque,1988,"95,237"
Swissotel The Stamford,1982,"107,767"
North Point Tower 1,2006,
JR Central Hotel Tower,1990,"417,000"
Pullman Shanghai Skyway Hotel,2003,"99,491"
Wyndham Centre,2012,
Agricultural Science and Technology International Center,2010,
Twenty Exchange,1929,"67,841"
Centerpoint Energy Plaza,,"130,063"
Q Tower,2007,
Hangyang Sino Plaza 2,2014,
ASPIN Tower,2008,
Two Union Square,1987,"112,970"
Marina One,2011,
Three Logan,,
Three World Financial Center,1985,
Suning Plaza Tower 2,2012,
Ilsan Yojin Y-City Tower 102,2013,
Ilsan Yojin Y-City Tower 104,2013,
Nestle Plaza,2006,
Suseong Leader's View Tower A,2007,
Suseong Leader's View Tower B,2007,
Parque Central Torre Officinas I,,
Parque Central Torre Officinas II,,
Al Tayer Tower,2006,"60,000"
Shinjuku Mitsui Building,1972,"179,578"
Torre Mayor,1999,"156,737"
Yunzhong Tower 1,2012,
